tag,school_name,main_phone,mobile_whatsapp,website,target_role,decision_maker_name,public_business_contact,linkedin,call_priority,source
Arabic & International School,American School of Doha,+974 4459 1500,,https://asd.sch.qa/,Head of School / Operations / Transport / IT,,reception@asd.edu.qa,https://www.linkedin.com/company/american-school-of-doha/,A,Official school website
Arabic & International School,Doha British School - Ain Khaled,+974 4019 8000,,https://www.dohabritishschool.com/,Principal / Operations / Transport / IT,,,https://www.linkedin.com/company/doha-british-school/,A,Official school/education group
Arabic & International School,Park House English School,+974 4468 3800,,https://www.parkhouseschool.com/,Principal / Operations / Transport / IT,,info@parkhouseschool.com,https://www.linkedin.com/company/park-house-english-school/,A,Official school website
Arabic & International School,Compass International School Doha,+974 4034 9666,,https://www.nordangliaeducation.com/cis-doha,Principal / Operations / Transport / IT,,,https://www.linkedin.com/company/compass-international-school-doha/,A,Official school/education group
Arabic & International School,Hamilton International School,+974 4492 4343,+974 3329 6569,https://www.hamiltoninternationalschool.qa/,Principal / Operations / Transport / IT,,admissions@this.qa,https://www.linkedin.com/company/hamilton-international-school-doha/,A,Official school website
Arabic & International School,Sherborne Qatar - School for Boys,+974 4459 6566,,https://www.sherborneqatar.org/,Principal / Operations / Transport / IT,Justin Goldsack,office@sherborneqatar.org,https://www.linkedin.com/company/sherborne-qatar/,A,Official school website
Arabic & International School,Sherborne Qatar - School for Girls,+974 4495 3444,,https://www.sherborneqatar.org/,Principal / Operations / Transport / IT,Nadira Rahman,office@sherborneqatar.org,https://www.linkedin.com/company/sherborne-qatar/,A,Official school website
Arabic & International School,Blyth Academy Qatar,+974 3020 0691 / 4421 7553,+974 3020 0691,https://blythacademyqatar.com/,Principal / Operations / Transport / IT,,transports@blythacademyqatar.com,https://www.linkedin.com/company/blyth-academy-qatar/,A,Official school website
Arabic & International School,ACS Doha International School,+974 4474 9000,,https://www.acsdoha.school/,Principal / Operations / Transport / IT,,admissions@acsdoha.school,https://www.linkedin.com/company/acs-doha-international-school/,A,Official school website
Arabic & International School,GEMS American Academy Qatar,+974 4032 9000,,https://www.gemsamericanacademy-qatar.com/,Principal / Operations / Transport / IT,,registrar_aaq@gemsedu.com,https://www.linkedin.com/company/gems-american-academy-qatar/,A,Official school website + GEMS
Arabic & International School,English Modern School - Doha,+974 4488 3806,,https://www.ems.sch.qa/,Principal / Operations / Transport / IT,,,https://www.linkedin.com/company/english-modern-school-qatar/,A,Official school website
Arabic & International School,American Academy School,+974 4020 6900,,https://americanacademy.sch.qa/,Principal / Operations / Transport / IT,,,https://www.linkedin.com/company/american-academy-school-qatar/,B,Official school website
Arabic & International School,Pearling Season International School - Al Gharrafa,+974 4476 8000,,https://www.psisd.sch.qa/,Principal / Operations / Transport / IT,,info@psisg.sch.qa,https://www.linkedin.com/company/pearling-season-international-school/,A,Official school website
